col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr
actor.last_update,film.language_id,actor,film,0.000280,0.000076,0.181818,0.047825,0.386344
actor.last_update,film.original_language_id,actor,film,0.731127,0.198790,0.150000,0.057453,0.312803
actor.last_update,film.rental_duration,actor,film,0.639716,0.173936,0.266667,0.048955,0.406516
actor.last_update,film.rental_rate,actor,film,0.511563,0.139091,0.363636,0.042489,0.487954
actor.last_update,film.length,actor,film,0.605782,0.164709,0.181818,0.047463,0.345186
actor.last_update,film.replacement_cost,actor,film,0.658154,0.178949,0.187500,0.042389,0.345888
actor.last_update,film.rating,actor,film,0.705169,0.191732,0.181818,0.047657,0.338431
actor.last_update,film.special_features,actor,film,0.906184,0.246387,0.187500,0.060301,0.329028
actor.last_update,film.last_update,actor,film,0.000000,0.000000,1.000000,0.049468,1.000000
actor.last_update,film_category.film_id,actor,film_category,0.618836,0.168258,0.181818,0.063148,0.344299
actor.last_update,film_category.category_id,actor,film_category,0.642602,0.174720,0.090909,0.058262,0.274502
actor.last_update,film_category.last_update,actor,film_category,0.000000,0.000000,1.000000,0.047089,1.000000
actor.last_update,inventory.inventory_id,actor,inventory,0.618836,0.168258,0.000000,0.091192,0.207935
actor.last_update,inventory.film_id,actor,inventory,0.618836,0.168258,0.181818,0.075542,0.344299
actor.last_update,inventory.store_id,actor,inventory,0.427078,0.116120,0.181818,0.068880,0.357333
actor.last_update,inventory.last_update,actor,inventory,0.000000,0.000000,1.000000,0.075404,1.000000
actor.last_update,language.language_id,actor,language,0.618836,0.168258,0.181818,0.038725,0.344299
actor.last_update,language.name,actor,language,0.675492,0.183663,0.181818,0.032275,0.340448
actor.last_update,language.last_update,actor,language,0.000000,0.000000,1.000000,0.031504,1.000000
actor.last_update,payment.payment_id,actor,payment,0.618836,0.168258,0.090909,0.029945,0.276117
actor.last_update,payment.customer_id,actor,payment,0.618836,0.168258,0.181818,0.043080,0.344299
actor.last_update,payment.staff_id,actor,payment,0.427078,0.116120,0.181818,0.029944,0.357333
actor.last_update,payment.rental_id,actor,payment,0.650549,0.176881,0.090909,0.033529,0.273961
actor.last_update,payment.amount,actor,payment,0.662240,0.180060,0.272727,0.028873,0.409530
actor.last_update,payment.payment_date,actor,payment,0.654876,0.178058,0.416667,0.024502,0.517986
actor.last_update,payment.last_update,actor,payment,0.654876,0.178058,1.000000,0.024101,0.955486
actor.last_update,rental.rental_id,actor,rental,0.618836,0.168258,0.090909,0.042047,0.276117
actor.last_update,rental.rental_date,actor,rental,0.654876,0.178058,0.454545,0.032261,0.546394
actor.last_update,rental.inventory_id,actor,rental,0.606870,0.165005,0.000000,0.066782,0.208749
actor.last_update,rental.customer_id,actor,rental,0.606303,0.164851,0.181818,0.042398,0.345151
actor.last_update,rental.return_date,actor,rental,0.654876,0.178058,0.363636,0.033763,0.478213
actor.last_update,rental.staff_id,actor,rental,0.427078,0.116120,0.181818,0.037869,0.357333
actor.last_update,rental.last_update,actor,rental,0.311009,0.084562,1.000000,0.036558,0.978860
actor.last_update,staff.staff_id,actor,staff,0.427078,0.116120,0.181818,0.031520,0.357333
actor.last_update,staff.first_name,actor,staff,0.324900,0.088339,0.363636,0.026013,0.500642
actor.last_update,staff.last_name,actor,staff,0.324838,0.088322,0.636364,0.024787,0.705193
actor.last_update,staff.address_id,actor,staff,0.487670,0.132595,0.090909,0.029021,0.285033
actor.last_update,staff.picture,actor,staff,1.130298,0.307322,0.272727,0.033660,0.377715
actor.last_update,staff.email,actor,staff,0.311149,0.084600,0.090909,0.023576,0.297032
actor.last_update,staff.store_id,actor,staff,0.427078,0.116120,0.181818,0.028160,0.357333
actor.last_update,staff.active,actor,staff,0.000280,0.000076,0.272727,0.035569,0.454526
actor.last_update,staff.username,actor,staff,0.324900,0.088339,0.272727,0.030775,0.432461
actor.last_update,staff.password,actor,staff,0.000326,0.000089,0.272727,0.027217,0.454523
actor.last_update,staff.last_update,actor,staff,0.000000,0.000000,1.000000,0.029106,1.000000
actor.last_update,store.store_id,actor,store,0.427078,0.116120,0.181818,0.033715,0.357333
actor.last_update,store.manager_staff_id,actor,store,0.427078,0.116120,0.125000,0.032749,0.314720
actor.last_update,store.address_id,actor,store,0.427078,0.116120,0.090909,0.027225,0.289152
